직책,회사,위치,URL
('Student Researcher  2023의 전체 세부 정보', 'Google', '서울', 'https://kr.indeed.com//rc/clk?jk=f438fdb09a101e51&fccid=a5b4499d9e91a5c6&vjs=3')
('백엔드 엔지니어(Python)의 전체 세부 정보', '피플펀드컴퍼니', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=11f1dd7f966354ba&fccid=10d9fdf90a5a21a4&vjs=3')
('파이썬(python) 백엔드 개발자의 전체 세부 정보', '아토머스', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=7e8499c0e2fe4afb&fccid=660bbb21789ab63d&vjs=3')
('2023년도 하반기 한국제약바이오협회 정규직의 전체 세부 정보', '한국제약바이오협회', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=2b26cbd84af488c2&fccid=4f24ccf025b836ae&vjs=3')
('서버 엔지니어 (Python)의 전체 세부 정보', '페이히어', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=9f33c5ff4ea4f539&fccid=254f50a1adb01cad&vjs=3')
('데이터분석가 신입/경력의 전체 세부 정보', '어니컴', '서울 용산구', 'https://kr.indeed.com//rc/clk?jk=e6e66931181de29d&fccid=5c6ed722e9346a08&vjs=3')
('Business Intelligence Analyst  Seoul  Korea의 전체 세부 정보', 'Tesla', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=4b3dfd13c88992b8&fccid=86e9be6ce380173e&vjs=3')
('2023년 DIgital Lab 전문계약직 상시의 전체 세부 정보', 'GS칼텍스', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=2e45e43017a6ea1f&fccid=f152288f3dcf6e51&vjs=3')
('[인텔리전스랩스] 탐지응용팀 백엔드 개발자 (Python/Go)의 전체 세부 정보', 'Nexon', '경기도 성남', 'https://kr.indeed.com//rc/clk?jk=4ce79aa71969b913&fccid=aba87288e4cc3687&vjs=3')
('기술 인턴 인공지능 응용 연구/개발 인턴의 전체 세부 정보', '써로마인드로보틱스', '서울 관악구', 'https://kr.indeed.com//rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3')
('해양원격탐사 신입/경력 (근무지: 부산)의 전체 세부 정보', '유에스티21', '부산 동구', 'https://kr.indeed.com//rc/clk?jk=70ed4856ba9f3ea8&fccid=437f36b1c597856b&vjs=3')
('[2023 희망화성 일자리박람회 참여]펌웨어 경력자의 전체 세부 정보', '동일기연', '경기도 화성', 'https://kr.indeed.com//rc/clk?jk=cccea9d048a32044&fccid=e6ff2cc22e6a1d40&vjs=3')
('Associate AI/ML Software Engineer의 전체 세부 정보', 'BOEING', '서울', 'https://kr.indeed.com//rc/clk?jk=ecf535d2a2ad0ba9&fccid=edae4285faf6c2f0&vjs=3')
('백엔드 엔지니어 (Python) 정규직의 전체 세부 정보', '데이터비', '서울 마포구', 'https://kr.indeed.com//rc/clk?jk=79d696388d32d3ff&fccid=dd6f5fd8e8c02e7e&vjs=3')
('2023 IBK연금보험 주요 직군별 신입사원 공개의 전체 세부 정보', '아이비케이연금보험', '서울 중구', 'https://kr.indeed.com//rc/clk?jk=c6156bd2aa05d6c7&fccid=3a353a6e36b1eee2&vjs=3')
('Software Engineer(Backend)의 전체 세부 정보', 'Presto', '서울', 'https://kr.indeed.com//rc/clk?jk=fb7e22a53bf710ac&fccid=37b31c805f66f58e&vjs=3')
('2023년 제 9차 IBK연금보험 각 부문 경력/신입 공개 (~9/8)의 전체 세부 정보', '아이비케이연금보험', '서울 중구', 'https://kr.indeed.com//rc/clk?jk=4a7aa863c48be066&fccid=3a353a6e36b1eee2&vjs=3')
('23년 9월 비상교육 IT직무 수시채용(신입)의 전체 세부 정보', '비상교육', '대한민국', 'https://kr.indeed.com//rc/clk?jk=39bfd074064f087c&fccid=b787a1d701399504&vjs=3')
('[신입] 반도체 회로 설계 개발자의 전체 세부 정보', '블루닷', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=a5bceed8ab2d0a2a&fccid=c08b3b2047a47dc0&vjs=3')
('Cloud Technical Resident  Cloud Academy  Early Career (English & Korean)의 전체 세부 정보', 'Google', '서울', 'https://kr.indeed.com//rc/clk?jk=9270090d9d02454d&fccid=a5b4499d9e91a5c6&vjs=3')
('Senior Software Engineer(Backend)의 전체 세부 정보', 'Presto', '서울', 'https://kr.indeed.com//rc/clk?jk=045267d4bab510c8&fccid=37b31c805f66f58e&vjs=3')
